Date,Open,High,Low,Close,Volume,Target
2020-12-01 05:09,1.19575,1.1958,1.19574,1.19579,94,1
2020-12-01 05:10,1.19578,1.19581,1.19578,1.1958,27,1
2020-12-01 05:11,1.1958,1.1958,1.19575,1.19576,173,0
2020-12-01 05:12,1.19575,1.19576,1.1957,1.1957,55,0
2020-12-01 05:13,1.1957,1.19574,1.19569,1.19574,12,1
2020-12-01 05:14,1.19574,1.1958,1.19573,1.19575,70,1
2020-12-01 05:15,1.19575,1.19576,1.19573,1.19576,61,1
2020-12-01 05:16,1.19576,1.19576,1.19572,1.19573,119,0
2020-12-01 05:17,1.19573,1.19583,1.19573,1.19583,37,1
2020-12-01 05:18,1.19583,1.19583,1.19579,1.19583,9,0
2020-12-01 05:19,1.19584,1.19594,1.19584,1.19592,62,1
2020-12-01 05:20,1.19591,1.19592,1.1959,1.1959,71,0
2020-12-01 05:21,1.19591,1.19592,1.19588,1.19589,92,0
2020-12-01 05:22,1.19588,1.19591,1.19588,1.19589,65,1
2020-12-01 05:23,1.19588,1.1959,1.19578,1.19578,109,0
2020-12-01 05:24,1.19578,1.19579,1.19576,1.19577,54,0
2020-12-01 05:25,1.19579,1.19579,1.19569,1.19573,140,0
2020-12-01 05:26,1.19572,1.19582,1.19571,1.1958,155,1
2020-12-01 05:27,1.19579,1.1958,1.19569,1.19577,46,0
2020-12-01 05:28,1.19577,1.19578,1.19576,1.19576,106,0
2020-12-01 05:29,1.19577,1.19578,1.19568,1.19569,100,0
2020-12-01 05:30,1.1957,1.19571,1.19555,1.19555,252,0
2020-12-01 05:31,1.19555,1.19556,1.19551,1.19553,293,0
2020-12-01 05:32,1.19552,1.19562,1.19552,1.19562,188,1
2020-12-01 05:33,1.19562,1.19562,1.1956,1.19561,16,0
2020-12-01 05:34,1.19561,1.19562,1.19559,1.19561,44,0
2020-12-01 05:35,1.19559,1.19559,1.19553,1.19554,89,0
2020-12-01 05:36,1.19553,1.19562,1.19553,1.19562,26,1
2020-12-01 05:37,1.19561,1.19566,1.19559,1.19561,262,0
2020-12-01 05:38,1.19561,1.19562,1.19553,1.19557,218,0
2020-12-01 05:39,1.19557,1.1956,1.19555,1.19555,196,0
2020-12-01 05:40,1.19555,1.19565,1.19555,1.19564,83,1
